vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国对美国进出口总额2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 759427143.995 | 2022-12-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 697494155.065 | 2022-11-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 639830443.627 | 2022-10-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 580397013.098 | 2022-09-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 514958863.51 | 2022-08-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 452309258.059 | 2022-07-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 383931047.909 | 2022-06-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 313569996.722 | 2022-05-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 245729986.787 | 2022-04-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 185915536.094 | 2022-03-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 123316977.289 | 2022-02-28 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 70418922.225 | 2022-01-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 755645017.518 | 2021-12-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 682322249.304 | 2021-11-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 609939240.105 | 2021-10-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 543115667.458 | 2021-09-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 470317095.083 | 2021-08-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 404572294.96 | 2021-07-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 340806113.619 | 2021-06-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 279644534.3 | 2021-05-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 221651014 | 2021-04-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 165728681 | 2021-03-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 109797814 | 2021-02-28 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 60283807 | 2021-01-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 586720518 | 2020-12-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 524288968 | 2020-11-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 457753628 | 2020-10-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 401467601.608 | 2020-09-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 344300078.982 | 2020-08-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 288994122.662 | 2020-07-31 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 233987209.007 | 2020-06-30 | 海关总署 |
| 210008012 | 中国:进出口总额:按来源地分:以美元计:美国:累计值:月 | 月 | 美元 | 183618710.626 | 2020-05-31 | 海关总署 |
