date,realtime_end,realtime_start,value
2003-12-01,2026-08-01,2026-08-01,2.0352
2004-01-01,2026-08-01,2026-08-01,2.02629
2004-02-01,2026-08-01,2026-08-01,1.68845
2004-03-01,2026-08-01,2026-08-01,1.74008
2004-04-01,2026-08-01,2026-08-01,2.29258
2004-05-01,2026-08-01,2026-08-01,2.89776
2004-06-01,2026-08-01,2026-08-01,3.16767
2004-07-01,2026-08-01,2026-08-01,2.93958
2004-08-01,2026-08-01,2026-08-01,2.54743
2004-09-01,2026-08-01,2026-08-01,2.53917
2004-10-01,2026-08-01,2026-08-01,3.19091
2004-11-01,2026-08-01,2026-08-01,3.62162
2004-12-01,2026-08-01,2026-08-01,3.34232
2005-01-01,2026-08-01,2026-08-01,2.84487
2005-02-01,2026-08-01,2026-08-01,3.05303
2005-03-01,2026-08-01,2026-08-01,3.20684
2005-04-01,2026-08-01,2026-08-01,3.36179
2005-05-01,2026-08-01,2026-08-01,2.86929
2005-06-01,2026-08-01,2026-08-01,2.54103
2005-07-01,2026-08-01,2026-08-01,3.06716
2005-08-01,2026-08-01,2026-08-01,3.64693
2005-09-01,2026-08-01,2026-08-01,4.74183
2005-10-01,2026-08-01,2026-08-01,4.3501
2005-11-01,2026-08-01,2026-08-01,3.33855
2005-12-01,2026-08-01,2026-08-01,3.33855
2006-01-01,2026-08-01,2026-08-01,4.01879
2006-02-01,2026-08-01,2026-08-01,3.63825
2006-03-01,2026-08-01,2026-08-01,3.41792
2006-04-01,2026-08-01,2026-08-01,3.61384
2006-05-01,2026-08-01,2026-08-01,3.97727
2006-06-01,2026-08-01,2026-08-01,4.18172
2006-07-01,2026-08-01,2026-08-01,4.10467
2006-08-01,2026-08-01,2026-08-01,3.92657
2006-09-01,2026-08-01,2026-08-01,2.01207
2006-10-01,2026-08-01,2026-08-01,1.40633
2006-11-01,2026-08-01,2026-08-01,1.9687
2006-12-01,2026-08-01,2026-08-01,2.52398
2007-01-01,2026-08-01,2026-08-01,2.07577
2007-02-01,2026-08-01,2026-08-01,2.42026
2007-03-01,2026-08-01,2026-08-01,2.7982
2007-04-01,2026-08-01,2026-08-01,2.59292
2007-05-01,2026-08-01,2026-08-01,2.70989
2007-06-01,2026-08-01,2026-08-01,2.69277
2007-07-01,2026-08-01,2026-08-01,2.31789
2007-08-01,2026-08-01,2026-08-01,1.89745
2007-09-01,2026-08-01,2026-08-01,2.83383
2007-10-01,2026-08-01,2026-08-01,3.6107
2007-11-01,2026-08-01,2026-08-01,4.37327
2007-12-01,2026-08-01,2026-08-01,4.10881
