date,realtime_end,realtime_start,value
2003-12-01,2026-08-03,2026-08-03,130589.0
2004-01-01,2026-08-03,2026-08-03,130756.0
2004-02-01,2026-08-03,2026-08-03,130821.0
2004-03-01,2026-08-03,2026-08-03,131140.0
2004-04-01,2026-08-03,2026-08-03,131412.0
2004-05-01,2026-08-03,2026-08-03,131697.0
2004-06-01,2026-08-03,2026-08-03,131794.0
2004-07-01,2026-08-03,2026-08-03,131854.0
2004-08-01,2026-08-03,2026-08-03,131939.0
2004-09-01,2026-08-03,2026-08-03,132089.0
2004-10-01,2026-08-03,2026-08-03,132429.0
2004-11-01,2026-08-03,2026-08-03,132503.0
2004-12-01,2026-08-03,2026-08-03,132630.0
2005-01-01,2026-08-03,2026-08-03,132781.0
2005-02-01,2026-08-03,2026-08-03,133034.0
2005-03-01,2026-08-03,2026-08-03,133154.0
2005-04-01,2026-08-03,2026-08-03,133520.0
2005-05-01,2026-08-03,2026-08-03,133689.0
2005-06-01,2026-08-03,2026-08-03,133948.0
2005-07-01,2026-08-03,2026-08-03,134300.0
2005-08-01,2026-08-03,2026-08-03,134502.0
2005-09-01,2026-08-03,2026-08-03,134552.0
2005-10-01,2026-08-03,2026-08-03,134641.0
2005-11-01,2026-08-03,2026-08-03,134997.0
2005-12-01,2026-08-03,2026-08-03,135159.0
2006-01-01,2026-08-03,2026-08-03,135427.0
2006-02-01,2026-08-03,2026-08-03,135733.0
2006-03-01,2026-08-03,2026-08-03,136038.0
2006-04-01,2026-08-03,2026-08-03,136210.0
2006-05-01,2026-08-03,2026-08-03,136249.0
2006-06-01,2026-08-03,2026-08-03,136337.0
2006-07-01,2026-08-03,2026-08-03,136529.0
2006-08-01,2026-08-03,2026-08-03,136692.0
2006-09-01,2026-08-03,2026-08-03,136826.0
2006-10-01,2026-08-03,2026-08-03,136843.0
2006-11-01,2026-08-03,2026-08-03,137060.0
2006-12-01,2026-08-03,2026-08-03,137249.0
2007-01-01,2026-08-03,2026-08-03,137472.0
2007-02-01,2026-08-03,2026-08-03,137560.0
2007-03-01,2026-08-03,2026-08-03,137784.0
2007-04-01,2026-08-03,2026-08-03,137847.0
2007-05-01,2026-08-03,2026-08-03,137992.0
2007-06-01,2026-08-03,2026-08-03,138070.0
2007-07-01,2026-08-03,2026-08-03,138044.0
2007-08-01,2026-08-03,2026-08-03,138013.0
2007-09-01,2026-08-03,2026-08-03,138099.0
2007-10-01,2026-08-03,2026-08-03,138175.0
2007-11-01,2026-08-03,2026-08-03,138290.0
2007-12-01,2026-08-03,2026-08-03,138395.0
2008-01-01,2026-08-03,2026-08-03,138391.0
2008-02-01,2026-08-03,2026-08-03,138329.0
2008-03-01,2026-08-03,2026-08-03,138259.0
2008-04-01,2026-08-03,2026-08-03,138040.0
2008-05-01,2026-08-03,2026-08-03,137851.0
2008-06-01,2026-08-03,2026-08-03,137700.0
2008-07-01,2026-08-03,2026-08-03,137497.0
2008-08-01,2026-08-03,2026-08-03,137211.0
2008-09-01,2026-08-03,2026-08-03,136760.0
2008-10-01,2026-08-03,2026-08-03,136291.0
2008-11-01,2026-08-03,2026-08-03,135541.0
2008-12-01,2026-08-03,2026-08-03,134847.0
2009-01-01,2026-08-03,2026-08-03,134079.0
2009-02-01,2026-08-03,2026-08-03,133318.0
2009-03-01,2026-08-03,2026-08-03,132494.0
2009-04-01,2026-08-03,2026-08-03,131822.0
2009-05-01,2026-08-03,2026-08-03,131466.0
2009-06-01,2026-08-03,2026-08-03,131008.0
2009-07-01,2026-08-03,2026-08-03,130662.0
2009-08-01,2026-08-03,2026-08-03,130472.0
2009-09-01,2026-08-03,2026-08-03,130246.0
2009-10-01,2026-08-03,2026-08-03,130061.0
2009-11-01,2026-08-03,2026-08-03,130057.0
2009-12-01,2026-08-03,2026-08-03,129808.0
2010-01-01,2026-08-03,2026-08-03,129802.0
2010-02-01,2026-08-03,2026-08-03,129706.0
2010-03-01,2026-08-03,2026-08-03,129866.0
2010-04-01,2026-08-03,2026-08-03,130120.0
2010-05-01,2026-08-03,2026-08-03,130642.0
2010-06-01,2026-08-03,2026-08-03,130510.0
2010-07-01,2026-08-03,2026-08-03,130415.0
2010-08-01,2026-08-03,2026-08-03,130415.0
2010-09-01,2026-08-03,2026-08-03,130341.0
2010-10-01,2026-08-03,2026-08-03,130620.0
2010-11-01,2026-08-03,2026-08-03,130749.0
2010-12-01,2026-08-03,2026-08-03,130830.0
2011-01-01,2026-08-03,2026-08-03,130837.0
2011-02-01,2026-08-03,2026-08-03,131057.0
2011-03-01,2026-08-03,2026-08-03,131283.0
2011-04-01,2026-08-03,2026-08-03,131597.0
2011-05-01,2026-08-03,2026-08-03,131703.0
2011-06-01,2026-08-03,2026-08-03,131931.0
2011-07-01,2026-08-03,2026-08-03,131992.0
2011-08-01,2026-08-03,2026-08-03,132125.0
2011-09-01,2026-08-03,2026-08-03,132344.0
2011-10-01,2026-08-03,2026-08-03,132553.0
2011-11-01,2026-08-03,2026-08-03,132690.0
2011-12-01,2026-08-03,2026-08-03,132888.0
2012-01-01,2026-08-03,2026-08-03,133246.0
2012-02-01,2026-08-03,2026-08-03,133509.0
2012-03-01,2026-08-03,2026-08-03,133748.0
2012-04-01,2026-08-03,2026-08-03,133825.0
2012-05-01,2026-08-03,2026-08-03,133932.0
2012-06-01,2026-08-03,2026-08-03,134013.0
2012-07-01,2026-08-03,2026-08-03,134157.0
2012-08-01,2026-08-03,2026-08-03,134339.0
2012-09-01,2026-08-03,2026-08-03,134517.0
2012-10-01,2026-08-03,2026-08-03,134669.0
2012-11-01,2026-08-03,2026-08-03,134825.0
2012-12-01,2026-08-03,2026-08-03,135074.0
2013-01-01,2026-08-03,2026-08-03,135257.0
2013-02-01,2026-08-03,2026-08-03,135546.0
2013-03-01,2026-08-03,2026-08-03,135689.0
2013-04-01,2026-08-03,2026-08-03,135873.0
2013-05-01,2026-08-03,2026-08-03,136096.0
2013-06-01,2026-08-03,2026-08-03,136279.0
2013-07-01,2026-08-03,2026-08-03,136391.0
2013-08-01,2026-08-03,2026-08-03,136646.0
2013-09-01,2026-08-03,2026-08-03,136821.0
2013-10-01,2026-08-03,2026-08-03,137041.0
2013-11-01,2026-08-03,2026-08-03,137317.0
2013-12-01,2026-08-03,2026-08-03,137372.0
2014-01-01,2026-08-03,2026-08-03,137561.0
2014-02-01,2026-08-03,2026-08-03,137712.0
2014-03-01,2026-08-03,2026-08-03,137985.0
2014-04-01,2026-08-03,2026-08-03,138298.0
2014-05-01,2026-08-03,2026-08-03,138513.0
