date,realtime_end,realtime_start,value
2003-12-01,2026-08-03,2026-08-03,75.2623
2004-01-01,2026-08-03,2026-08-03,75.2136
2004-02-01,2026-08-03,2026-08-03,75.8069
2004-03-01,2026-08-03,2026-08-03,75.8094
2004-04-01,2026-08-03,2026-08-03,76.0725
2004-05-01,2026-08-03,2026-08-03,76.628
2004-06-01,2026-08-03,2026-08-03,76.1259
2004-07-01,2026-08-03,2026-08-03,76.8104
2004-08-01,2026-08-03,2026-08-03,77.1402
2004-09-01,2026-08-03,2026-08-03,77.1344
2004-10-01,2026-08-03,2026-08-03,77.7669
2004-11-01,2026-08-03,2026-08-03,77.7031
2004-12-01,2026-08-03,2026-08-03,78.2322
2005-01-01,2026-08-03,2026-08-03,78.6268
2005-02-01,2026-08-03,2026-08-03,79.1803
2005-03-01,2026-08-03,2026-08-03,78.6751
2005-04-01,2026-08-03,2026-08-03,78.8731
2005-05-01,2026-08-03,2026-08-03,78.9331
2005-06-01,2026-08-03,2026-08-03,78.9349
2005-07-01,2026-08-03,2026-08-03,78.4897
2005-08-01,2026-08-03,2026-08-03,78.7308
2005-09-01,2026-08-03,2026-08-03,77.6962
2005-10-01,2026-08-03,2026-08-03,78.6389
2005-11-01,2026-08-03,2026-08-03,79.1894
2005-12-01,2026-08-03,2026-08-03,79.1365
2006-01-01,2026-08-03,2026-08-03,79.5941
2006-02-01,2026-08-03,2026-08-03,79.2317
2006-03-01,2026-08-03,2026-08-03,79.0731
2006-04-01,2026-08-03,2026-08-03,79.2153
2006-05-01,2026-08-03,2026-08-03,78.8787
2006-06-01,2026-08-03,2026-08-03,78.9462
2006-07-01,2026-08-03,2026-08-03,78.5463
2006-08-01,2026-08-03,2026-08-03,78.9594
2006-09-01,2026-08-03,2026-08-03,78.8808
2006-10-01,2026-08-03,2026-08-03,78.3488
2006-11-01,2026-08-03,2026-08-03,78.2681
2006-12-01,2026-08-03,2026-08-03,79.227
2007-01-01,2026-08-03,2026-08-03,78.781
2007-02-01,2026-08-03,2026-08-03,78.8347
2007-03-01,2026-08-03,2026-08-03,79.285
2007-04-01,2026-08-03,2026-08-03,79.5845
2007-05-01,2026-08-03,2026-08-03,79.3763
2007-06-01,2026-08-03,2026-08-03,79.4851
2007-07-01,2026-08-03,2026-08-03,79.2955
2007-08-01,2026-08-03,2026-08-03,78.8946
2007-09-01,2026-08-03,2026-08-03,78.9517
2007-10-01,2026-08-03,2026-08-03,78.7002
2007-11-01,2026-08-03,2026-08-03,78.9719
2007-12-01,2026-08-03,2026-08-03,78.9954
2008-01-01,2026-08-03,2026-08-03,78.7582
2008-02-01,2026-08-03,2026-08-03,78.161
2008-03-01,2026-08-03,2026-08-03,77.8244
2008-04-01,2026-08-03,2026-08-03,77.0718
2008-05-01,2026-08-03,2026-08-03,76.6191
2008-06-01,2026-08-03,2026-08-03,76.1328
2008-07-01,2026-08-03,2026-08-03,75.4485
2008-08-01,2026-08-03,2026-08-03,74.544
2008-09-01,2026-08-03,2026-08-03,72.0301
2008-10-01,2026-08-03,2026-08-03,71.6296
2008-11-01,2026-08-03,2026-08-03,69.9172
2008-12-01,2026-08-03,2026-08-03,67.6607
2009-01-01,2026-08-03,2026-08-03,65.5546
2009-02-01,2026-08-03,2026-08-03,65.5782
2009-03-01,2026-08-03,2026-08-03,64.4771
2009-04-01,2026-08-03,2026-08-03,64.107
2009-05-01,2026-08-03,2026-08-03,63.5243
2009-06-01,2026-08-03,2026-08-03,63.4322
2009-07-01,2026-08-03,2026-08-03,64.4955
2009-08-01,2026-08-03,2026-08-03,65.3114
2009-09-01,2026-08-03,2026-08-03,66.102
2009-10-01,2026-08-03,2026-08-03,66.2859
2009-11-01,2026-08-03,2026-08-03,67.0806
2009-12-01,2026-08-03,2026-08-03,67.1474
2010-01-01,2026-08-03,2026-08-03,67.941
2010-02-01,2026-08-03,2026-08-03,68.0202
2010-03-01,2026-08-03,2026-08-03,68.9678
2010-04-01,2026-08-03,2026-08-03,69.624
